beta=0.1,beta=0.2,beta=0.3,beta=0.4,beta=0.5,beta=0.6,beta=0.7,beta=0.8,beta=0.9,beta=1.0
0.040753,0.103692,0.187485,0.295627,0.432325,0.601999,1.023601,1.465130,1.939892,1.783007
0.001390,0.010068,0.032067,0.072951,0.138011,0.232352,0.647905,1.105876,1.684901,1.671609
0.001390,0.010068,0.032067,0.072951,0.138011,0.232352,0.360930,0.831720,1.461322,1.567170
0.001390,0.010068,0.032067,0.072951,0.138011,0.232352,0.360930,0.528585,1.265172,1.469257
0.001390,0.010068,0.032067,0.072951,0.138011,0.232352,0.360930,0.528585,1.089286,1.377461
0.001390,0.010068,0.032067,0.072951,0.138011,0.232352,0.360930,0.528585,0.740056,1.291401
0.001390,0.010068,0.032067,0.072951,0.138011,0.232352,0.360930,0.528585,0.740056,1.210717
0.001390,0.010068,0.032067,0.072951,0.138011,0.232352,0.360930,0.528585,0.740056,1.135074
0.001390,0.010068,0.032067,0.072951,0.138011,0.232352,0.360930,0.528585,0.740056,1.064158
0.001390,0.010068,0.032067,0.072951,0.138011,0.232352,0.360930,0.528585,0.740056,0.997672
0.001390,0.010068,0.032067,0.072951,0.138011,0.232352,0.360930,0.528585,0.740056,0.935339
0.001390,0.010068,0.032067,0.072951,0.138011,0.232352,0.360930,0.528585,0.740056,0.876902
0.001390,0.010068,0.032067,0.072951,0.138011,0.232352,0.360930,0.528585,0.740056,0.822124
0.001390,0.010068,0.032067,0.072951,0.138011,0.232352,0.360930,0.528585,0.740056,0.772329
0.001390,0.010068,0.032067,0.072951,0.138011,0.232352,0.360930,0.528585,0.740056,1.000000
